Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"EL BOMBAZO MARKET INC.",-71.414162,41.79776,"981 Broad St","","Providence","RI","02905","1704","PROVIDENCE" 
"Corner Store",-71.269608,41.729267,"370 Child St","","Warren","RI","02885","1837","BRISTOL" 
"SAM'S FOOD STORE 1033",-71.453674,41.832287,"1348 Chalkstone Ave","","Providence","RI","02909","3912","PROVIDENCE" 
"Yorktown Market Inc",-71.457657,41.613544,"6769 Post Rd","","North Kingstown","RI","02852","2126","WASHINGTON" 
"COLUMBUS MINI MART",-71.362068,41.870472,"232 Columbus Ave","","Pawtucket","RI","02861","3407","PROVIDENCE" 
"CHINESE AMERICAN MINI MARKET INC",-71.435219,41.778812,"834 Park Ave # 836","","Cranston","RI","02910","2026","PROVIDENCE" 
"7-ELEVEN 33506A",-71.411301,41.822819,"141 Weybosset St","","Providence","RI","02903","3803","PROVIDENCE" 
"FREEDOM SEAFOODS INC",-71.43541,41.778854,"840 Park Ave","","Cranston","RI","02910","2026","PROVIDENCE" 
"SAMS FOOD STORES 1052",-71.41687,41.75201,"885 Post Rd","","Warwick","RI","02888","3361","KENT" 
"HILL MART",-71.317032,41.513607,"295 Connell Hwy","","Newport","RI","02840","1057","NEWPORT" 
"SHAW'S SUPERMARKET 07625",-71.460678,41.755962,"8 Chapel View Blvd","","Cranston","RI","02920","3062","PROVIDENCE" 
"BR MARKET",-71.451645,41.823704,"352 Manton Ave","","Providence","RI","02909","3626","PROVIDENCE" 
"WALGREEN 06592",-71.407181,41.733959,"1560 Warwick Ave","","Warwick","RI","02889","1020","KENT" 
"CRANSTON VARIETY STORE",-71.429047,41.812832,"306 Cranston St","","Providence","RI","02907","2408","PROVIDENCE" 
"MANVILLE MARKET",-71.470833,41.968952,"6 Old Main St","","Manville","RI","02838","1614","PROVIDENCE" 
"STOP AND GO FOOD MART",-71.830956,41.373589,"129 Main St","","Westerly","RI","02891","2112","WASHINGTON" 
"MILK N MORE",-71.452316,41.784184,"1232 Park Ave","","Cranston","RI","02910","3019","PROVIDENCE" 
"RIVER AVE B & M FOOD MART",-71.438278,41.832142,"168 River Ave","","Providence","RI","02908","4732","PROVIDENCE" 
"Downtown Market",-71.40963,41.825993,"2 KENNEDY PLAZA","","PROVIDENCE","RI","02903","","PROVIDENCE" 
"GIO'S MARKET",-71.424927,41.835476,"537 Chalkstone Ave","","Providence","RI","02908","3651","PROVIDENCE" 
"Food Chalet",-71.416573,41.75206,"874 Post Rd","","Warwick","RI","02888","3365","KENT" 
"CARLITOS MARKET INC",-71.422394,41.835648,"35 Candace St","","Providence","RI","02908","3753","PROVIDENCE" 
"NORTHERN LOBSTER",-71.499146,41.824444,"1505 Atwood Ave","","Johnston","RI","02919","3232","PROVIDENCE" 
"TARGET 1188",-71.493538,41.704575,"1245 Bald Hill Rd","Ste 1","Warwick","RI","02886","4234","KENT" 
"OCEAN PRIDE SEAFOOD OF CRANSTON",-71.472885,41.783058,"270 Atwood Ave","","Cranston","RI","02920","4053","PROVIDENCE" 
"LA GIGANTE MEAT MARKET INC",-71.42308,41.811424,"49 Elmwood Ave","","Providence","RI","02907","2401","PROVIDENCE" 
"SANCHEZ MARKET",-71.419693,41.805756,"676 Broad St","","Providence","RI","02907","1466","PROVIDENCE" 
"DOLLAR TREE 1733",-71.468803,41.819847,"377 Killingly St","","Providence","RI","02909","5900","PROVIDENCE" 
"SIME MARKET",-71.444397,41.820419,"70 Appleton St","","Providence","RI","02909","2731","PROVIDENCE" 
"TARGET STORE 2073",-71.480644,41.93541,"620 George Washington Hwy","Ste 1","Lincoln","RI","02865","4272","PROVIDENCE" 
